iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.729246,0.699808,0.572211,0.379406,0.015491,869.559717,6543.303799,6956.104576000001,4000.002274,184840.199654,2.348288
#2,0.5749869999999999,1.041695,0.712557,0.743414,0.012489,965.836535,6846.566313,7036.552602000001,4954.192421,228465.374441,3.967078
#3,0.587364,2.673444,2.171125,1.742014,0.875546,899.170847,8003.939415,8341.885304,6298.593351,293181.727502,6.183765
#4,0.608131,3.931717,2.904093,2.453314,0.013009,915.576493,10000.049257,10015.554348,8156.399383,395626.83433,9.173194
#5,0.864589,4.030929,3.179867,2.608047,0.01559,1034.163833,10501.905767,10699.511919,8681.943446,430687.797576,9.709714
#6,0.5664049999999999,5.794936,5.422718,5.550655,0.013142,939.20969,11321.883955000001,11400.667680999999,9500.047165,501551.039324,13.122721
#7,0.5724210000000001,6.941095,6.833354,4.247338,0.017238,956.797037,12903.988905,13278.432821999999,11372.542607,585637.627907,14.265437
#8,0.52265,7.230616,6.573708,7.940353,0.020085000000000002,1067.553099,13727.266905,14426.8701,12918.324310999998,638472.548819,16.552253
#9,0.567806,8.736129,9.025268,8.687322,0.01763,1090.8018049999998,15387.373707,15853.444934000001,13865.743281000001,694360.788835,19.913
#10,0.7903089999999999,11.092517,9.451551,9.248346,0.286831,1030.997986,16430.965259,16581.275941,14956.063719,774435.1927169999,23.521444
